Brand_Name,Deal_Week,deal_id,store_id,Week,total_inventory,Elasticity,new_discount,Actual discount,Inventory,Actual Remaining Inventory,week_gross,Weekly gross actual,week_gross_td,week_nett,week_nett_td,Period,deal_recovery,date1,Inventory remaining difference,discount difference,recovery actual
Forever 21,5,934,37599,Week4,1543794.26,,31.08,0.3108,1027991.31,1027991.31,155430.72,515802.95,515802.95,107122.8522,384107.1002,History,0.689347691,2024-12-11,0,0,0.489641936
Forever 21,5,934,37599,Week5,1543794.26,0.022930172,25.65983967,0.3455,809053.8412,830868.79,218937.4688,712925.47,734740.4188,162758.4653,546865.5655,Future_Plan,0.689347691,2024-12-18,-21814.94878,-8.890160327,0.489641936
Forever 21,5,934,37599,Week6,1543794.26,0.022930172,28.26081752,0.3719,588492.1233,647863.51,220561.718,895930.75,955302.1367,158229.1733,705094.7388,Future_Plan,0.689347691,2024-12-25,-59371.38675,-8.929182478,0.489641936
Forever 21,5,934,37599,Week7,1543794.26,0.022930172,30.66610416,0.4002,395601.7683,440853.37,192890.355,1102940.89,1148192.492,133738.3978,838833.1366,Future_Plan,0.689347691,2025-01-01,-45251.60171,-9.353895839,0.489641936
Forever 21,5,934,37599,Week8,1543794.26,0.022930172,33.10350218,0.4193,243825.0156,329399.93,151776.7527,1214394.33,1299969.244,101533.3321,940366.4687,Future_Plan,0.689347691,2025-01-08,-85574.91442,-8.826497818,0.489641936
Forever 21,5,934,37599,Week9,1543794.26,0.022930172,35.81630986,0.4436,135111.8296,225614.7,108713.186,1318179.56,1408682.43,69776.13442,1010142.603,Future_Plan,0.689347691,2025-01-15,-90502.87037,-8.543690144,0.489641936
Forever 21,5,934,37599,Week10,1543794.26,0.022930172,59.9824789,0.4663,-4.61659E-05,127350.65,135111.8297,1416443.61,1543794.26,54068.40495,1064211.008,Future_Plan,0.689347691,2025-01-22,-127350.65,13.3524789,0.489641936
Forever 21,6,934,37599,Week1,1543794.26,,19.94,0.1994,1441541.58,1441541.58,102252.68,102252.68,102252.68,81863.49561,81863.49561,History,0.683222462,2024-11-20,0,0,0.489641936
Forever 21,6,934,37599,Week2,1543794.26,,21.62,0.2162,1330225.11,1330225.11,111316.47,213569.15,213569.15,87249.84919,169113.3448,History,0.683222462,2024-11-27,0,0,0.489641936
Forever 21,6,934,37599,Week3,1543794.26,,26.52,0.2652,1183422.03,1183422.03,146803.08,360372.23,360372.23,107870.9032,276984.248,History,0.683222462,2024-12-04,0,0,0.489641936
Forever 21,6,934,37599,Week4,1543794.26,,31.08,0.3108,1027991.31,1027991.31,155430.72,515802.95,515802.95,107122.8522,384107.1002,History,0.683222462,2024-12-11,0,0,0.489641936
Forever 21,6,934,37599,Week5,1543794.26,,34.55,0.3455,830868.79,830868.79,197122.52,712925.47,712925.47,129016.6893,513123.7895,History,0.683222462,2024-12-18,0,0,0.489641936
Forever 21,6,934,37599,Week6,1543794.26,0.025235237,26.88220762,0.3719,622883.4932,647863.51,207985.2968,895930.75,920910.7668,152074.2575,665198.0471,Future_Plan,0.683222462,2024-12-25,-24980.01683,-10.30779238,0.489641936
Forever 21,6,934,37599,Week7,1543794.26,0.025235237,29.60024587,0.4002,424237.8424,440853.37,198645.6507,1102940.89,1119556.418,139846.0497,805044.0968,Future_Plan,0.683222462,2025-01-01,-16615.52756,-10.41975413,0.489641936
Forever 21,6,934,37599,Week8,1543794.26,0.025235237,32.39594243,0.4193,259012.8674,329399.93,165224.9751,1214394.33,1284781.393,111698.7873,916742.884,Future_Plan,0.683222462,2025-01-08,-70387.06264,-9.534057566,0.489641936
Forever 21,6,934,37599,Week9,1543794.26,0.025235237,35.6298373,0.4436,136999.3708,225614.7,122013.4966,1318179.56,1406794.889,78540.28626,995283.1703,Future_Plan,0.683222462,2025-01-15,-88615.32921,-8.7301627,0.489641936
Forever 21,6,934,37599,Week10,1543794.26,0.025235237,56.58976845,0.4663,-5.15165E-05,127350.65,136999.3708,1416443.61,1543794.26,59471.7441,1054754.914,Future_Plan,0.683222462,2025-01-22,-127350.6501,9.959768454,0.489641936
